animal:animal	appearance_attr:appearance_attr	wit_response
rusty spotted cat	height	"They are the smallest cats, with small, round ears, a body about 40 cm in length, plus a relatively short 20 cm tail."
puma	height	"The largest male pumas can be as big as eight feet (2.4 meters) long, and females can be as large as seven feet (2.1 meters)."
snow leopard	height	"The snow leopard attains a length of about 2.1 metres (7 feet), including the 0.9-metre- (3-foot-) long tail. It stands about 0.6 metre (2 feet) high at the shoulder."
sand cat	height	Its head-and-body length ranges from 39-52 cm (15-20 in) with a 23-31 cm (9.1-12.2 in) long tail.
manul	height	It is about the size of a domestic cat. Its body is 46 to 65 cm (18 to 26 in) long and its tail 21 to 31 cm (8.3 to 12.2 in).
bobcat	height	The bobcat only is only 17 to 23 inches (43 to 58 cm) high.
margay	height	"It has very large eyes and a very long tail that is 70 percent as long as its body. Its body however, is smaller, growing up to 27 inches."
ocelot	height	"Ocelots grow up to 3 feet and 2 inches (100 cm) in length, plus a foot and a half (45 cm) tail length."
lion	height	They grow to a length of about 10 feet (3 meters) and stand about 4 feet (1.2 meters) tall.
serval	height	"The serval is a slender, medium-sized cat that stands 54-62 cm (21-24 in) at the shoulder."
wildcat	height	Wildcat stands 14-16 inches tall and reaches lengths of 29-46 inches.
lynx	height	The lynx also stands at 30 to 42 inches (74 to 107 cm) high.
jaguar	height	The jaguar stands 63 to 76 cm (25 to 30 in) tall at the shoulders
tiger	height	A tiger usually is about 6 ft to 9 ft in length from nose to tail tip. A large tiger might be 10 ft (3 meters) long. The tail is about 36 inches (91 cm or 3 ft).
clouded leopard	height	"Females vary in head-to-body length from 68.6 to 94 cm (27.0 to 37.0 in), with a tail 61 to 82 cm (24 to 32 in) long. Males are larger at 81 to 108 cm (32 to 43 in) with a tail 74 to 91 cm (29 to 36 in) long. Its shoulder height varies from 50 to 55 cm (20 to 22 in)."
caracal	height	"The length is 65 cm (about 2 ft), plus 30 cm tail (about 1 foot). Caracal reaches 40-50 cm (16-20 in) at the shoulder."
leopard	height	"Leopards are usually 6.5-10 feet (2-3 m) long, including 23-43 inches (58-110cm) of tail, and stand 17.5-30.5 inches (43-78 cm) tall. Female leopards are usually only two-thirds the size of male leopards. "
cheetah	height	"Cheetahs typically reach 67-94 cm (26-37 in) at the shoulder, and the head-and-body length is between 1.1 and 1.5 m (3.6 and 4.9 ft)."
marbled cat	height	Marbled cats range from 45 to 62 cm (18 to 24 in) in head-body length with a 35 to 55 cm (14 to 22 in) long and thickly furred tail.
jaguarundi	height	This medium-sized cat has an average length of 65 cm (30 inches) with 45 cm (20 inches) of tail. It reaches nearly 36 cm (14 in) at the shoulder.
rusty spotted cat	color	"The color of the fur is gray, with rusty spots all over the back and the flanks."
